iter	Passed	Remaining
0	1	100
1	1	88
2	2	81
3	3	75
4	3	74
5	4	74
6	5	75
7	6	79
8	7	77
9	8	76
10	9	77
11	10	75
12	11	74
13	11	73
14	12	72
15	13	71
16	14	71
17	15	70
18	16	68
19	16	67
20	17	66
21	18	66
22	19	65
23	20	64
24	21	63
25	21	62
26	22	61
27	23	60
28	24	59
29	25	58
30	26	57
31	26	57
32	27	56
33	28	55
34	29	54
35	30	53
36	30	52
37	31	51
38	32	50
39	33	49
40	34	48
41	34	47
42	35	46
43	35	45
44	36	44
45	37	43
46	38	42
47	38	41
48	39	41
49	40	40
50	41	39
51	41	38
52	42	37
53	43	37
54	44	36
55	44	35
56	45	34
57	46	33
58	47	32
59	48	32
60	49	31
61	49	30
62	50	29
63	51	28
64	51	27
65	52	27
66	53	26
67	54	25
68	54	24
69	55	23
70	56	23
71	57	22
72	57	21
73	58	20
74	59	19
75	60	18
76	60	18
77	61	17
78	62	16
79	63	15
80	63	14
81	64	14
82	65	13
83	66	12
84	66	11
85	67	11
86	68	10
87	69	9
88	69	8
89	70	7
90	71	7
91	72	6
92	72	5
93	73	4
94	74	3
95	75	3
96	76	2
97	76	1
98	77	0
99	78	0
